City,Latitude,Longitude,Max Temperature (F),Humidity,Cloudiness,Wind Speed,Country,Date
Hilo,19.7297,-155.09,82.4,88,1,9.1,US,1619556154
Faya,18.3851,42.4509,57.2,88,0,4.61,SA,1619556154
Kruisfontein,-34.0033,24.7314,59.0,88,42,1.01,ZA,1619556070
Grand Gaube,-20.0064,57.6608,77.0,88,100,5.01,MU,1619556155
Kalininsk,51.5,44.4758,40.44,88,100,8.3,RU,1619556155
Oranjemund,-28.55,16.4333,58.87,88,95,7.27,NA,1619556156
Bensonville,6.4461,-10.6125,80.6,88,40,3.69,LR,1619556156
La Asuncion,11.0333,-63.8628,89.6,88,100,17.27,VE,1619556157
Castro,-24.7911,-50.0119,61.03,87,0,0.94,BR,1619556157
Quatre Cocos,-20.2078,57.7625,77.0,87,75,11.5,MU,1619555886
Provideniya,64.3833,-173.3,28.4,87,90,6.73,RU,1619556157
Fort Nelson,58.8053,-122.7002,14.0,87,90,1.99,CA,1619556158
Esim,4.8699,-2.2405,82.22,87,83,10.67,GH,1619556158
Hasaki,35.7333,140.8333,51.8,87,75,4.61,JP,1619556158
Manokwari,-0.8667,134.0833,77.59,87,82,1.63,ID,1619555563
Sharjah city,25.3573,55.4033,91.4,87,0,3.44,AE,1619556159
East London,-33.0153,27.9116,65.82,87,90,11.32,ZA,1619556024
Mayo,38.8876,-76.5119,84.0,87,1,10.36,US,1619556165
Karratha,-20.7377,116.8463,75.43,87,0,10.85,AU,1619555888
Kushima,31.4583,131.2333,60.8,87,90,2.3,JP,1619556165
Gaza,31.5,34.4667,64.99,87,0,3.44,PS,1619556166
Longyearbyen,78.2186,15.6401,17.6,87,75,3.44,SJ,1619556166
Beyneu,45.3167,55.2,62.69,87,99,9.84,KZ,1619556166
Hambantota,6.1241,81.1185,79.77,87,94,9.62,LK,1619556167
Pangai,-19.8,-174.35,77.0,87,75,9.22,TO,1619556167
Doka,13.5167,35.7667,89.73,87,96,5.53,SD,1619556168
Erenhot,43.6475,111.9767,39.94,87,0,8.25,CN,1619556168
Tomatlán,19.9333,-105.25,92.98,87,90,13.38,MX,1619555574
Sobolevo,54.4299,31.8996,34.97,87,99,6.8,RU,1619555962
Kangaatsiaq,68.3065,-53.4641,32.79,87,98,5.23,GL,1619556169
Vila Franca do Campo,37.7167,-25.4333,59.0,87,75,10.36,PT,1619556169
Grindavik,63.8424,-22.4338,44.6,87,75,5.75,IS,1619556169
Luang Prabang,19.8856,102.1347,72.14,87,65,0.65,LA,1619556170
Thompson,55.7435,-97.8558,24.8,87,75,17.27,CA,1619556170
Clyde River,70.4692,-68.5914,30.2,87,40,11.5,CA,1619555901
Bobrovka,54.047,61.7455,44.04,87,100,6.78,RU,1619556171
Faanui,-16.4833,-151.75,81.5,86,21,9.75,PF,1619556171
La Serena,-29.9078,-71.2542,64.4,86,0,11.5,CL,1619556171
Kaitangata,-46.2817,169.8464,43.0,86,96,4.0,NZ,1619556172
São Filipe,14.8961,-24.4956,72.7,86,13,16.78,CV,1619556172
Sørland,67.667,12.6934,32.0,86,40,2.3,NO,1619556172
Aksu,41.1231,80.2644,61.5,86,1,3.04,CN,1619555951
Luanda,-8.8368,13.2343,82.4,86,40,6.91,AO,1619556063
Bandarbeyla,9.4942,50.8122,83.28,86,100,7.29,SO,1619555581
Cabo San Lucas,22.8909,-109.9124,82.0,86,1,23.02,MX,1619556146
Zverinogolovskoye,54.4586,64.8542,47.82,86,100,5.12,RU,1619556173
Chui,-33.6971,-53.4616,58.23,86,0,7.4,UY,1619556174
Knysna,-34.0363,23.0471,59.0,86,90,2.3,ZA,1619556174
Berlevåg,70.8578,29.0864,30.2,85,75,16.11,NO,1619556174
La Santisima Trinidad,-14.8333,-64.9,76.8,85,55,3.76,BO,1619556175
Bengkulu,-3.8004,102.2655,75.13,85,36,3.89,ID,1619556175
Puerto Ayora,-0.7393,-90.3518,82.4,85,40,9.22,EC,1619556014
Manzhouli,49.6,117.4333,30.42,85,100,22.3,CN,1619556176
Kavieng,-2.5744,150.7967,82.62,85,50,6.29,PG,1619556176
Gaya,24.7833,85.0,73.4,85,20,5.75,IN,1619556176
Sibolga,1.7427,98.7792,76.19,84,100,3.13,ID,1619556177
Zhangjiakou,40.81,114.8794,43.61,84,1,9.84,CN,1619556177
Kyrylivka,46.3759,35.3675,49.93,84,100,1.86,UA,1619556177
Baruun-Urt,46.6806,113.2792,28.67,84,0,13.78,MN,1619556178
Tangzhai,34.4328,116.5911,55.98,84,100,6.8,CN,1619556178
Dalby,-27.1833,151.2667,44.6,84,0,4.61,AU,1619556179
Saint Paul Harbor,57.79,-152.4072,42.8,84,90,21.85,US,1619556179
São João da Barra,-21.6403,-41.0511,78.8,83,75,4.61,BR,1619556179
Plouzané,48.3833,-4.6167,50.0,83,90,4.61,FR,1619556180
Buala,-8.145,159.5921,78.26,83,100,3.8,SB,1619556185
Nouadhibou,20.931,-17.0347,68.0,83,0,11.5,MR,1619556186
Adrar,20.5022,-10.0711,88.09,83,64,7.05,MR,1619556186
Ribeira Grande,38.5167,-28.7,60.8,83,75,13.8,PT,1619556186
Sumenep,-7.0167,113.8667,79.03,83,82,9.57,ID,1619556187
Chumikan,54.7183,135.315,30.85,83,100,10.65,RU,1619556187
Evensk,61.95,159.2333,17.78,83,19,5.68,RU,1619556187
Touros,-5.1989,-35.4608,82.4,83,20,9.22,BR,1619555911
Los Llanos de Aridane,28.6585,-17.9182,68.0,83,90,3.44,ES,1619556188
Mayor Pablo Lagerenza,-19.9309,-60.7718,76.24,83,0,5.48,PY,1619556188
Srednekolymsk,67.45,153.6833,23.05,83,65,3.8,RU,1619556188
Borås,57.721,12.9401,39.99,83,0,4.61,SE,1619556189
Kungurtug,50.5994,97.5228,25.86,83,100,2.51,RU,1619556189
Ahipara,-35.1667,173.1667,58.87,83,53,9.1,NZ,1619556190
Tarko-Sale,64.9225,77.785,33.01,83,100,6.11,RU,1619556190
Tigil',57.8,158.6667,26.17,83,100,7.76,RU,1619556190
Severo-Kuril'sk,50.6789,156.125,34.09,83,100,17.58,RU,1619556191
Nemuro,43.3236,145.575,38.66,82,95,2.68,JP,1619556049
Lovozero,68.005,35.0117,24.08,82,100,3.78,RU,1619556191
Beloha,-25.1667,45.05,73.26,82,4,5.37,MG,1619556192
Mocuba,-16.8392,36.9856,70.47,82,8,2.84,MZ,1619556192
Coquimbo,-29.9533,-71.3436,64.4,82,0,11.5,CL,1619556192
Saldanha,-33.0117,17.9442,60.8,82,95,4.61,ZA,1619556082
Jiwani,25.05,61.7417,83.07,82,97,6.13,PK,1619556193
Malye Derbety,47.9547,44.6808,46.18,82,92,6.98,RU,1619556193
Carutapera,-1.195,-46.02,77.47,82,100,6.55,BR,1619556194
Am Timan,11.0297,20.2827,91.0,82,21,6.49,TD,1619556194
Acapulco de Juárez,16.8634,-99.8901,86.0,82,40,10.36,MX,1619556194
Lata,40.1629,-8.3327,59.0,82,61,1.99,PT,1619555904
Taoudenni,22.6783,-3.9836,96.85,82,27,6.26,ML,1619556195
Aconibe,1.2968,10.9369,69.73,82,100,3.33,GQ,1619556195
Beni,0.5,29.4667,63.61,82,22,2.55,CD,1619556196
Lebu,-37.6167,-73.65,60.48,82,58,3.71,CL,1619556196
Camacupa,-12.0167,17.4833,65.97,82,93,3.22,AO,1619556196
Ucluelet,48.9329,-125.5528,53.01,82,90,11.5,CA,1619556197
Riyadh,24.6877,46.7219,87.8,82,75,16.69,SA,1619556184
Bridgeton,39.4273,-75.2341,80.01,82,1,6.91,US,1619556197
Cayenne,4.9333,-52.3333,80.6,82,75,5.75,GF,1619556197
Vanimo,-2.6741,141.3028,77.59,81,36,3.0,PG,1619556198
Albury,-36.0833,146.9167,45.0,81,40,3.67,AU,1619556198
Albanel,48.8832,-72.4487,59.0,81,8,10.36,CA,1619556199
Novoagansk,61.9449,76.6625,35.82,81,57,10.36,RU,1619556199
Salalah,17.0151,54.0924,82.4,81,40,5.75,OM,1619556199
Tarnobrzeg,50.573,21.6794,41.0,81,4,3.0,PL,1619556067
Tikrit,34.6071,43.6782,75.2,81,0,6.53,IQ,1619556200
Broken Hill,-31.95,141.4333,51.8,81,57,5.06,AU,1619556200
Nantucket,41.2835,-70.0995,53.6,81,1,21.85,US,1619556000
Gambo,4.6482,22.2633,71.64,81,68,1.61,CF,1619556201
Velsk,61.0701,42.0983,35.29,81,100,3.44,RU,1619556201
Santa Fe,-31.6333,-60.7,66.97,81,0,5.1,AR,1619556206
Naryan-Mar,67.6713,53.087,23.45,81,60,6.98,RU,1619556207
Esperance,-33.8667,121.9,51.8,80,90,4.61,AU,1619556207
Aklavik,68.2191,-135.0107,24.8,80,0,6.91,CA,1619556208
Jimma,7.6667,36.8333,58.77,80,71,1.41,ET,1619556208
Lorengau,-2.0226,147.2712,81.41,80,96,1.66,PG,1619556209
Saint-Philippe,-21.3585,55.7679,75.2,80,0,3.44,RE,1619556209
Luau,-10.7073,22.2247,63.66,80,27,3.8,AO,1619556210
Coahuayana Viejo,18.7333,-103.6833,89.6,80,40,11.5,MX,1619556210
Dhangadhi,28.7079,80.5961,79.84,80,1,3.38,NP,1619556210
Cloquet,46.7216,-92.4594,45.0,79,90,5.75,US,1619556211
Zhigansk,66.7697,123.3711,1.38,79,18,5.55,RU,1619556211
Talara,-4.5772,-81.2719,78.8,79,0,19.57,PE,1619556211
Berlin,52.5244,13.4105,48.0,79,0,10.36,DE,1619556145
Banjar,-8.19,114.9675,78.8,79,20,5.75,ID,1619556212
Hargeisa,9.56,44.065,75.6,79,97,11.45,SO,1619556212
Baghdad,33.3406,44.4009,71.6,78,0,5.75,IQ,1619555915
Nhulunbuy,-12.2333,136.7667,75.2,78,48,5.75,AU,1619556214
Emerald,-23.5333,148.1667,59.0,78,0,8.05,AU,1619556214
Mossendjo,-2.9506,12.7261,70.75,78,96,1.95,CG,1619556215
Lavrentiya,65.5833,-171.0,30.67,78,100,3.96,RU,1619556215
Thinadhoo,0.5333,72.9333,82.15,78,85,3.24,MV,1619556215
Atasū,48.6814,71.6433,57.67,78,38,10.38,KZ,1619556216
Merrill,45.1805,-89.6835,60.8,78,90,11.5,US,1619556216
Chokurdakh,70.6333,147.9167,24.39,78,100,1.99,RU,1619556083
Jackson,42.4165,-122.8345,66.99,78,1,5.75,US,1619556189
Zhigalovo,54.8097,105.1578,20.46,78,32,2.33,RU,1619556217
Geilo,60.5333,8.2076,17.4,78,40,5.86,NO,1619556217
Husavik,66.0449,-17.3389,42.8,78,0,9.22,IS,1619556217
Semey,50.4111,80.2275,57.56,78,78,9.75,KZ,1619556218
Kholm,59.2667,32.85,34.12,78,100,3.98,RU,1619556218
Nadym,65.5333,72.5167,32.18,78,95,6.13,RU,1619556218
Broome,42.2506,-75.833,73.0,78,1,8.05,US,1619556219
Leningradskiy,69.3833,178.4167,24.31,78,100,14.79,RU,1619556219
Bilibino,68.0546,166.4372,15.57,77,95,1.88,RU,1619556220
Wattegama,6.7989,81.4808,74.75,77,91,2.57,LK,1619556220
Katsuura,35.1333,140.3,55.4,77,75,3.44,JP,1619556220
Östersund,63.1792,14.6357,33.8,77,75,5.75,SE,1619556221
Araouane,18.9048,-3.5265,92.59,77,27,4.9,ML,1619556221
Labuhan,-6.8844,112.2051,75.76,77,33,6.6,ID,1619556221
Nouakchott,18.0858,-15.9785,68.0,77,0,17.27,MR,1619556222
Greenville,35.6127,-77.3663,84.99,77,1,9.22,US,1619556118
Erbil,36.1926,44.0106,69.8,77,0,2.3,IQ,1619556222
Hamilton,39.1834,-84.5333,82.4,77,1,17.27,US,1619556223
Brigantine,39.4101,-74.3646,69.8,76,1,8.05,US,1619556223
San-Pédro,4.7485,-6.6363,81.34,76,61,8.08,CI,1619556223
Abadan,38.0507,58.2056,75.2,76,40,6.91,TM,1619556229
Kargil,34.5667,76.1,34.11,76,21,4.29,IN,1619556229
Mount Gambier,-37.8333,140.7667,50.0,76,90,3.27,AU,1619556229
Anloga,5.7947,0.8973,83.73,76,65,15.57,GH,1619556230
Bathsheba,13.2167,-59.5167,82.4,76,20,16.11,BB,1619556230
Ostrovnoy,68.0531,39.5131,24.55,76,100,6.55,RU,1619556230
Vardø,70.3705,31.1107,28.4,76,90,9.22,NO,1619556231
Cherskiy,68.75,161.3,19.47,75,41,8.75,RU,1619556231
Morant Bay,17.8815,-76.4093,91.4,75,20,9.22,JM,1619556232
Idrinskoye,54.3708,92.1358,42.01,75,100,7.0,RU,1619556232
Dikson,73.5069,80.5464,31.87,75,100,16.96,RU,1619556232
Arrondissement de Dole,47.0833,5.5,59.0,75,2,2.3,FR,1619556233
Pevek,69.7008,170.3133,14.11,75,96,6.4,RU,1619556233
Ambajogai,18.7333,76.3833,85.41,74,87,6.13,IN,1619556234
Port Elizabeth,-33.918,25.5701,60.8,74,20,13.8,ZA,1619556081
Barranca,-10.75,-77.7667,68.94,74,98,12.37,PE,1619556234
Makakilo City,21.3469,-158.0858,80.6,74,75,4.61,US,1619556234
Aksarka,66.5606,67.7975,32.47,74,100,7.0,RU,1619556235
Port Macquarie,-31.4333,152.9167,55.0,74,50,4.0,AU,1619556235
Tarazona,41.9,-1.7333,59.0,74,90,4.61,ES,1619556130
Vestmannaeyjar,63.4427,-20.2734,45.1,74,58,18.99,IS,1619556236
Chernushka,56.5072,56.0766,41.59,74,100,8.32,RU,1619556236
Remuna,21.5261,86.8722,78.84,74,56,8.84,IN,1619556236
Çermik,38.1361,39.4493,59.0,73,0,8.05,TR,1619556237
Souillac,-20.5167,57.5167,77.0,73,75,11.5,MU,1619556237
Muhororo,0.9381,30.7594,63.05,73,44,3.09,UG,1619556237
Zig,40.127,-92.7663,82.4,73,1,18.41,US,1619556238
Douentza,14.9951,-2.9517,95.95,73,50,2.68,ML,1619556238
Lompoc,34.6391,-120.4579,62.6,72,1,20.71,US,1619556066
Malé,4.1748,73.5089,84.2,72,20,9.22,MV,1619555980
Oskarshamn,57.2645,16.4484,37.99,72,70,4.0,SE,1619556239
Xining,36.6167,101.7667,32.07,72,20,1.52,CN,1619555947
Hue,16.4667,107.6,75.2,72,20,1.14,VN,1619556239
Pimenta Bueno,-11.6725,-61.1936,79.75,72,99,2.73,BR,1619556240
Tchibanga,-2.85,11.0333,71.96,72,100,0.96,GA,1619556240
Mahébourg,-20.4081,57.7,77.0,72,75,11.5,MU,1619556240
Kailua,21.4022,-157.7394,80.6,71,40,4.61,US,1619555983
Marystown,47.1666,-55.1483,42.15,71,100,11.59,CA,1619556241
Yamada,39.4667,141.95,48.67,71,67,4.7,JP,1619556241
Prince Rupert,54.3161,-130.3201,46.4,71,90,14.97,CA,1619556242
Abaza,52.655,90.0928,42.64,71,100,6.24,RU,1619556242
Chase,50.8165,-119.6857,61.0,70,100,3.44,CA,1619556242
Smithers,54.7804,-127.1743,46.4,70,90,9.22,CA,1619556243
Sukumo,32.9333,132.7333,61.05,70,100,6.11,JP,1619556243
Santa Cruz de la Sierra,-17.8,-63.1667,74.25,70,0,4.85,BO,1619556243
Chibombo,-14.6569,28.0706,64.22,70,77,5.28,ZM,1619556244
Jinxiang,27.4327,120.6062,63.57,70,99,5.77,CN,1619556244
Boende,-0.2167,20.8667,74.26,70,15,3.06,CD,1619556244
Heihe,50.2441,127.4902,32.0,70,40,4.47,CN,1619556250
Martil,35.6166,-5.2752,64.4,70,20,12.66,MA,1619556250
Avera,33.194,-82.5271,82.4,69,1,8.05,US,1619556251
Fukuechō,32.6881,128.8419,60.44,69,100,4.32,JP,1619556251
Gondanglegi,-7.7479,112.0132,75.69,69,17,10.09,ID,1619556251
Charters Towers,-20.1,146.2667,61.84,69,0,6.64,AU,1619556252
Portmore,17.9702,-76.8672,91.4,69,20,9.22,JM,1619556252
George Town,5.4112,100.3354,78.8,69,40,4.61,MY,1619556252
Gamba,-2.65,10.0,78.48,69,95,4.09,GA,1619556253
Vila Velha,-20.3297,-40.2925,78.8,69,20,8.05,BR,1619556063
Shimoda,34.6667,138.95,61.0,69,94,1.99,JP,1619556253
Prymors'k,46.7348,36.3443,48.76,69,100,4.05,UA,1619556254
Sayyan,15.1718,44.3244,58.05,69,68,1.63,YE,1619556254
Mangan,27.5167,88.5333,68.07,68,33,6.62,IN,1619556254
Mount Isa,-20.7333,139.5,57.2,68,0,3.44,AU,1619556255
Sinnamary,5.3833,-52.95,75.36,68,100,2.89,GF,1619556255
San Benito,36.6166,-121.0844,73.0,68,2,4.0,US,1619556255
Saint-Pierre,-21.3393,55.4781,75.2,68,0,3.44,RE,1619556256
Togur,58.3631,82.8265,37.08,67,74,5.82,RU,1619556256
Olonets,60.9847,32.9698,31.06,67,51,2.26,RU,1619556256
Penzance,50.1186,-5.5371,48.2,67,40,8.05,GB,1619556257
Missoula,47.0166,-113.8009,57.99,67,75,9.22,US,1619556154
Oderzo,45.7882,12.5019,54.0,66,43,5.5,IT,1619556257
Ust-Tsilma,65.441,52.1498,29.98,66,99,5.39,RU,1619556258
Marquette,46.5333,-87.6335,39.99,66,100,5.99,US,1619556019
Kiryat Gat,31.61,34.7642,64.99,66,0,3.6,IL,1619556258
Tingo María,-9.2895,-76.0088,73.18,65,100,1.19,PE,1619556259
Humaitá,-7.5061,-63.0208,81.54,65,53,3.04,BR,1619556259
Nanortalik,60.1432,-45.2371,35.58,65,5,4.16,GL,1619556259
Lively,46.4334,-81.1498,55.4,65,75,10.36,CA,1619556260
Petropavlovsk-Kamchatskiy,53.0452,158.6483,35.6,65,75,6.71,RU,1619556076
Kaduqli,11.0167,29.7167,92.39,65,100,4.99,SD,1619556260
Praia,14.9215,-23.5087,71.6,65,40,14.97,CV,1619555972
Palmas de Monte Alto,-14.2672,-43.1619,85.1,65,97,2.28,BR,1619556261
Fairbanks,64.8378,-147.7164,44.01,65,90,12.66,US,1619556261
Westerland,54.9079,8.3033,44.6,65,75,10.36,DE,1619556262
El Retorno,2.3302,-72.6276,73.9,64,100,2.89,CO,1619556262
Vostok,46.4856,135.8833,42.69,64,100,4.23,RU,1619556262
Tocopilla,-22.092,-70.1979,68.43,64,20,3.13,CL,1619556113
Sumbe,-11.2061,13.8437,79.81,63,20,4.18,AO,1619556263
Cidreira,-30.1811,-50.2056,63.34,63,0,10.02,BR,1619556263
Ancud,-41.8697,-73.8203,57.2,63,90,10.36,CL,1619556264
Tolbazy,54.0241,55.8825,41.0,63,40,11.18,RU,1619556264
Clarksburg,39.2807,-80.3445,82.99,62,1,12.66,US,1619556264
Garden City,42.3256,-83.331,84.2,62,90,21.85,US,1619556195
Puerto Barrios,15.7167,-88.6,87.8,62,40,4.61,GT,1619556265
Chimbote,-9.0853,-78.5783,69.48,62,90,12.77,PE,1619556265
Cedartown,34.0537,-85.255,86.0,62,93,3.0,US,1619556265
Olinda,-8.0089,-34.8553,80.6,62,40,11.5,BR,1619556271
Bay Roberts,47.5999,-53.2648,46.4,62,90,11.5,CA,1619556271
